id,rwa_score,testelapse,education,engnat,education_level,urban,gender,age,hand,familysize
116,2.1,169,2,1,High School,Urban,Other,16,Both,3
117,1,417,1,1,Less than high school,NA,Male,15,Right,3
118,2.05,244,1,1,Less than high school,Suburban,Male,27,Right,3
119,2.45,236,3,1,University degree,Urban,Male,24,Right,1
120,1.35,334,2,1,High School,Suburban,Other,21,Right,2
121,6.15,290,2,2,High School,Urban,Male,17,Right,1
122,3.5,305,2,2,High School,Suburban,Male,17,Right,1
123,2.15,208,2,1,High School,Rural,Male,17,Right,3
124,1.85,260,2,2,High School,Urban,Male,17,Right,3
125,2.05,12503,3,1,University degree,Suburban,Male,56,Right,3
126,1.1,123,2,1,High School,Suburban,Male,24,Right,2
127,4.55,403,2,1,High School,Suburban,Male,22,Right,3
128,1.4,309,1,1,Less than high school,Suburban,Female,14,Right,2
129,2.1,94,2,1,High School,Suburban,Male,18,Right,2
130,2.65,233,2,1,High School,Suburban,Female,29,Right,1
131,7.65,597,2,2,High School,Suburban,Female,24,Right,1
132,4.25,454,2,2,High School,Urban,Male,19,Left,3
133,3.15,679,3,1,University degree,Suburban,Male,26,Left,3
134,2.15,227,2,1,High School,Urban,Male,20,Right,1
135,1,217,2,1,High School,Rural,Male,20,Left,4
136,3.9,347,2,1,High School,Suburban,Male,17,Right,2
137,2.95,370,4,1,Graduate degree,Rural,Male,48,Left,3
138,3.8,188,1,1,Less than high school,Suburban,Female,16,Right,2
139,6.65,222,2,1,High School,Rural,Female,38,Right,4
140,1.6,237,2,1,High School,Rural,Female,17,Right,2
141,6.85,197,3,1,University degree,Urban,Female,39,Right,3
142,1,133,3,1,University degree,Suburban,Male,19,Right,2
143,3.7,217,2,2,High School,Suburban,Male,26,Right,2
144,1.95,168,4,2,Graduate degree,Rural,Female,51,Right,5
145,1,360,4,2,Graduate degree,Urban,Male,31,Right,0
146,2.65,446,2,1,High School,Suburban,Male,14,Right,4
147,2.75,232,2,1,High School,Rural,Male,14,Right,2
148,3.15,131,2,1,High School,Suburban,Male,18,Both,1
149,1.9,166,2,2,High School,Suburban,Male,17,Right,1
150,2.3,525,2,1,High School,Suburban,Male,45,Right,3
151,1.5,165,3,2,University degree,Rural,Male,23,Right,1
152,1.45,203,4,1,Graduate degree,Rural,Male,30,Right,2
153,1.25,115,2,1,High School,Urban,Female,32,Right,4
154,1.4,234,3,1,University degree,Rural,Male,28,Right,4
155,2.25,238,1,1,Less than high school,Urban,Female,14,Right,1
156,2.25,203,2,1,High School,Urban,Female,46,Right,3
157,3.55,357,2,1,High School,Rural,Female,43,Right,2
158,2.4,256,4,1,Graduate degree,Rural,Female,62,Right,3
159,5.7,187,2,1,High School,Urban,Male,18,Right,3
160,4.1,189,3,2,University degree,Rural,Male,28,Right,0
161,4.6,207,3,1,University degree,Urban,Female,20,Right,2
162,2.1,198,3,2,University degree,Urban,Male,23,Right,1
163,4.85,302,1,1,Less than high school,Suburban,Male,16,Right,3
164,1.55,272,4,2,Graduate degree,Rural,Male,27,Right,2
165,3.05,308,4,1,Graduate degree,Suburban,Female,46,Right,2
166,2.8,199,4,1,Graduate degree,Urban,Male,24,Right,4
167,3.05,280,1,1,Less than high school,Urban,Female,14,Right,2
168,4.55,497,4,1,Graduate degree,Urban,Male,39,Right,2
169,4.55,300,1,2,Less than high school,Urban,Male,13,Right,2
170,5.6,150,2,1,High School,Suburban,Female,18,Right,2
171,8.9,276,2,1,High School,Suburban,Female,28,Right,4
172,1.85,266,3,2,University degree,Urban,Male,30,Right,1
173,2.95,251,4,1,Graduate degree,Suburban,Male,25,Right,2
174,2.55,256,2,1,High School,Suburban,Male,23,Left,3
175,3.6,203,2,1,High School,Suburban,Female,16,Both,3
176,3.4,119,3,1,University degree,Suburban,Male,26,Right,1
177,3.4,354,2,2,High School,Rural,Male,33,Right,1
178,1.05,150,3,1,University degree,Suburban,Male,57,Right,6
179,6.95,204,2,1,High School,Suburban,NA,17,Right,1
180,6.25,296,1,1,Less than high school,Suburban,Male,17,Left,3
181,1.95,593,4,2,Graduate degree,Suburban,Male,29,Right,2
182,1.25,372,1,1,Less than high school,Suburban,Other,17,Right,3
183,2.6,351,2,2,High School,Suburban,Male,20,Right,2
184,1.45,140,1,1,Less than high school,Suburban,Female,15,Right,2
185,1.55,251,2,2,High School,Suburban,Male,21,Right,3
186,3.8,388,2,1,High School,Rural,Male,52,Right,1
187,3.45,397,3,1,University degree,Suburban,Female,27,Right,2
188,1,117,2,1,High School,Urban,Female,18,Right,3
189,1.1,138,2,1,High School,Suburban,Male,14,Right,3
190,5.2,711,4,2,Graduate degree,Urban,Male,24,Right,2
191,2.25,148,3,1,University degree,Urban,Female,39,Right,2
192,4,207,2,1,High School,Suburban,Male,16,Both,2
193,2.35,292,2,1,High School,Suburban,Female,43,Right,1
194,1.05,149,3,1,University degree,Urban,Female,30,Right,2
195,1,339,4,1,Graduate degree,Rural,Female,25,Right,6
196,2.05,102,2,1,High School,Suburban,Male,17,Right,2
197,3.3,374,2,1,High School,Urban,Female,51,Right,3
198,1.7,243,2,1,High School,Urban,Female,36,Right,1
199,3.4,113,2,1,High School,Urban,Male,25,Right,3
200,1.85,203,1,2,Less than high school,Suburban,Female,16,Left,2
201,6.7,295,2,1,High School,Urban,Male,21,Right,4
202,1.55,181,4,1,Graduate degree,Suburban,Female,44,Left,2
203,4.7,152,2,2,High School,Suburban,Male,16,Right,3
204,2.4,233,4,1,Graduate degree,Rural,Other,50,Right,3
205,5.7,182,3,1,University degree,Rural,Female,28,Right,3
206,1,126,1,1,Less than high school,Rural,Other,15,Right,1
207,1,261,1,1,Less than high school,Suburban,Female,16,Right,3
208,1.2,153,2,1,High School,Rural,Male,45,Left,1
209,2.2,305,2,2,High School,Urban,Female,16,Right,3
210,1.5,177,2,2,High School,Urban,Female,18,Right,1
211,1.8,228,2,2,High School,Suburban,Male,21,Right,2
212,1.4,281,3,2,University degree,Rural,Female,19,Right,3
213,2.1,164,2,1,High School,Urban,Female,18,Right,2
214,3.1,252,2,1,High School,Rural,Female,19,Left,3
215,5.85,286,2,1,High School,Urban,Male,24,Right,4
216,1.95,357,2,1,High School,Urban,Male,15,Right,2
217,4.95,258,1,1,Less than high school,Rural,Male,15,Right,3
218,2.7,381,2,1,High School,Rural,Female,73,Right,5
219,2.75,164,1,1,Less than high school,Suburban,Male,17,Right,2
220,2.1,475,2,2,High School,Urban,Male,17,Right,2
221,2.25,183,3,2,University degree,Rural,Male,27,Right,2
222,2.55,138,1,1,Less than high school,Urban,Female,18,Right,3
223,1.95,219,3,1,University degree,Suburban,Female,29,Right,1
224,9,146,4,2,Graduate degree,Urban,Male,28,Right,1
225,6.05,158,3,1,University degree,Suburban,Male,22,Right,2
226,1,121,3,1,University degree,Suburban,Male,20,Right,3
227,6,1029,2,1,High School,Suburban,Male,18,Right,2
228,2.45,113,1,1,Less than high school,Suburban,Female,16,Right,3
229,2,100,2,1,High School,Suburban,Male,19,Right,1
230,1.55,266,2,1,High School,Urban,Male,26,Right,2
231,3.4,6384,1,1,Less than high school,Suburban,Male,17,Right,2
232,3.4,381,1,1,Less than high school,Urban,Female,29,Right,2
233,2.35,250,3,1,University degree,Suburban,Male,22,Right,1
234,1.2,124,3,1,University degree,Suburban,Female,28,Left,2
235,8.45,131,1,1,Less than high school,Urban,Male,15,Right,2
236,2.6,1203,3,1,University degree,Suburban,Female,50,Left,2
237,6.15,333,3,2,University degree,Urban,Male,29,Right,2
238,3.05,238,2,1,High School,Suburban,Male,18,Right,4
239,2.75,260,3,2,University degree,Urban,Male,19,Right,1
240,3.25,283,3,1,University degree,NA,Male,65,Right,3
241,4.15,188,2,1,High School,Urban,Female,47,Right,4
242,1.2,93,2,1,High School,Rural,Other,18,Right,2
243,2.2,629,2,1,High School,Suburban,Male,47,Right,7
244,8.2,134,2,1,High School,Suburban,Male,17,Right,3
245,1.45,331,2,1,High School,Urban,Male,19,Right,1
246,7.2,252,3,2,University degree,Rural,Male,21,Right,2
247,9,164,2,2,High School,Suburban,Male,16,Right,1
248,7.35,285,2,1,High School,Urban,Male,24,Right,1
249,1.8,124,4,2,Graduate degree,Urban,Female,29,Left,2
250,7.8,255,4,2,Graduate degree,Urban,Male,25,Right,3
251,6.9,199,3,1,University degree,Rural,Female,30,Right,3
252,3.35,367,4,1,Graduate degree,Rural,Male,43,Right,3
253,2.25,265,2,2,High School,Urban,Male,19,Right,2
254,1,219,3,2,University degree,Urban,Male,21,Right,0
255,2.3,177,1,1,Less than high school,Suburban,Female,28,Right,2
256,7.2,190,1,1,Less than high school,Rural,Male,24,Right,1
257,7.45,190,2,2,High School,Urban,Male,19,Right,1
258,1.65,125,4,1,Graduate degree,Suburban,Female,40,Both,2
259,2.3,283,3,1,University degree,Rural,Male,37,Right,2
260,1.7,161,3,1,University degree,Urban,Male,26,Right,2
261,5.7,272,1,1,Less than high school,Suburban,Male,20,Right,5
262,2.05,116,2,1,High School,Rural,Male,31,Right,2
263,1.4,136,4,1,Graduate degree,Urban,Male,35,Right,2
264,1.25,267,3,1,University degree,Suburban,Female,24,Right,2
265,1.4,161,2,1,High School,Suburban,Male,21,Right,1
266,1.1,133,3,1,University degree,Suburban,Male,32,Right,3
267,2.25,177,2,1,High School,Suburban,Male,45,Right,3
268,2.8,131,1,1,Less than high school,Urban,Male,14,Right,2
269,2.15,189,3,1,University degree,Suburban,Male,24,Right,3
270,2.75,197,3,1,University degree,Suburban,Male,48,Right,2
271,1.2,120,4,1,Graduate degree,Suburban,Male,25,Right,1
272,3.3,216,4,1,Graduate degree,Urban,Male,33,Right,1
273,1.15,175,3,1,University degree,Suburban,Male,44,Right,2
274,1.75,1538,3,1,University degree,Suburban,Male,26,Right,2
275,1.4,188,4,1,Graduate degree,Suburban,Male,44,Right,1
276,1.9,164,3,1,University degree,Suburban,Male,33,Right,2
277,2.75,250,3,1,University degree,Suburban,Male,30,Right,2
278,1.7,234,4,1,Graduate degree,Suburban,Male,23,Right,3
279,1.85,318,3,1,University degree,Suburban,Male,28,Right,3
280,2.8,401,2,1,High School,Rural,Male,29,Right,4
281,1.7,216,2,1,High School,Urban,Male,48,Right,3
282,2.4,344,2,1,High School,Urban,Male,33,Right,3
283,2.6,359,3,1,University degree,Suburban,Male,33,Left,3
284,2.05,172,4,2,Graduate degree,Urban,Male,27,Right,2
285,3.7,293,4,2,Graduate degree,Urban,Male,26,Left,1
286,1.3,170,3,1,University degree,Rural,Male,24,Right,2
287,2.8,228,2,1,High School,Suburban,Male,23,Right,3
288,2.4,216,3,2,University degree,Suburban,Male,42,Left,13
289,1.9,154,3,1,University degree,Suburban,Male,29,Right,2
290,1.75,288,3,1,University degree,Suburban,Male,26,Right,2
291,2.05,152,3,1,University degree,Urban,Male,25,Right,2
292,1.55,191,4,2,Graduate degree,Urban,Male,29,Right,2
293,2.5,128,4,1,Graduate degree,Suburban,Male,27,Right,2
294,1.35,244,3,1,University degree,Urban,Male,20,Right,3
295,1.45,324,2,1,High School,Rural,Male,18,Right,1
296,2.35,218,3,1,University degree,Urban,Male,24,Right,1
297,1.9,330,2,1,High School,Rural,Male,20,Right,2
298,2.1,686,2,1,High School,Urban,Male,29,Right,2
299,2.2,310,2,1,High School,Rural,Male,27,Left,3
300,2.2,95,3,1,University degree,Rural,Male,34,Right,1
301,2.95,169,3,1,University degree,Suburban,Male,33,Right,1
302,2.35,5749,2,1,High School,Suburban,Female,33,Right,1
303,3.7,397,2,1,High School,Urban,Male,21,Right,4
304,1.35,111,2,1,High School,Suburban,Male,41,Right,2
305,1.95,202,3,1,University degree,Urban,Male,39,Right,2
306,1.35,114,2,1,High School,Rural,Male,20,Right,2
307,1.3,109,2,1,High School,Urban,Male,45,Left,4
308,1.1,205,3,2,University degree,Suburban,Male,25,Right,2
309,1.5,239,3,1,University degree,Rural,Male,35,Right,3
310,1,134,3,1,University degree,Urban,Male,27,Right,1
311,3.75,197,4,2,Graduate degree,Rural,Male,23,Right,3
312,2.05,173,1,1,Less than high school,Rural,Male,18,Right,2
313,1.15,124,3,1,University degree,Suburban,Female,39,Right,2
314,1.7,274,4,1,Graduate degree,Suburban,Female,27,Right,2
315,2.05,296,3,1,University degree,Suburban,Male,28,Right,3
316,1.35,205,4,1,Graduate degree,Rural,Female,32,Right,2
317,1.55,194,3,1,University degree,Suburban,Male,23,Left,3
318,1.85,146,2,1,High School,Suburban,Female,22,Right,1
319,2.25,217,3,1,University degree,Suburban,Male,24,Right,2
320,1.85,135,4,1,Graduate degree,Suburban,Male,36,Right,2
321,1.9,184,3,1,University degree,Suburban,Male,34,Right,2
322,2.85,264,1,1,Less than high school,Suburban,Female,24,Right,1
323,1,84,3,1,University degree,Suburban,Male,27,Right,2
324,1.95,174,4,1,Graduate degree,Rural,Male,27,Right,3
325,1.35,111,3,1,University degree,Rural,Male,35,Left,2
326,1.45,392,2,1,High School,Rural,Male,19,Right,2
327,2.45,345,2,2,High School,Urban,Male,24,Right,2
328,1.6,154,3,1,University degree,Suburban,Male,21,Right,2
329,2.5,234,3,1,University degree,Suburban,Male,27,Right,3
330,1.75,184,3,1,University degree,Rural,Male,29,Right,3
331,2.95,256,3,1,University degree,Suburban,Male,31,Right,3
332,1.05,468,3,1,University degree,Suburban,Male,26,Right,3
333,1.6,189,3,1,University degree,Suburban,Female,21,Right,2
334,2.8,264,2,1,High School,Rural,Male,18,Right,2
335,1.6,199,3,1,University degree,Rural,Male,26,Right,3
336,2,148,2,1,High School,Urban,Male,40,Right,2
337,3.2,129,3,1,University degree,Urban,Female,24,Right,2
338,1.85,516,2,1,High School,Suburban,Male,24,Right,5
339,3.25,357,4,1,Graduate degree,Rural,Male,24,Right,1
340,1.9,191,2,1,High School,Suburban,Male,23,Right,2
341,1.4,170,2,1,High School,Suburban,Male,28,Right,2
342,1.65,301,3,1,University degree,Suburban,Male,21,Right,4
343,2.9,158,2,1,High School,Rural,Male,20,Left,3
344,1.5,135,2,1,High School,Suburban,Male,26,Right,2
345,2.7,181,2,1,High School,Suburban,Male,31,Right,2
346,1.35,169,3,1,University degree,Rural,Male,25,Right,2
347,1.5,295,3,1,University degree,Suburban,Male,22,Left,3
348,1.55,354,2,1,High School,Urban,Male,29,Right,2
349,1.5,310,2,1,High School,Rural,Female,47,Right,2
350,1.65,127,4,2,Graduate degree,Suburban,Male,34,Right,2
351,2.9,226,3,1,University degree,Urban,Male,41,Right,2
352,1.65,246,3,1,University degree,Rural,Male,24,Left,2
353,1.75,190,3,1,University degree,Suburban,Male,36,Right,3
354,1.4,388,4,1,Graduate degree,Suburban,Male,28,Right,0
355,2.35,304,2,1,High School,Suburban,Male,27,Right,2
356,1.6,136,3,1,University degree,Suburban,Male,24,Right,3
357,2.5,301,3,1,University degree,Suburban,Male,32,Left,3
358,1.85,180,2,1,High School,Urban,Male,36,Left,4
359,1.3,139,2,1,High School,Suburban,Male,24,Right,1
360,2.15,229,2,2,High School,Suburban,Male,22,Right,2
361,1.45,184,3,1,University degree,Rural,Female,29,Right,4
362,2.2,194,1,1,Less than high school,Rural,Female,20,Right,2
363,1.95,217,3,1,University degree,Suburban,Female,31,Right,3
364,1.55,99,3,1,University degree,Rural,Female,32,Left,4
365,1.55,358,2,1,High School,Rural,Male,27,Left,3
366,2.85,171,1,1,Less than high school,Suburban,Male,15,Right,1
367,1.7,318,2,2,High School,Rural,Female,29,Right,2
368,1.35,108,4,1,Graduate degree,Suburban,Male,26,Right,2
369,1.25,159,4,1,Graduate degree,Suburban,Female,32,Right,2
370,2.95,158,3,1,University degree,Rural,Male,24,Right,2
371,1.3,185,3,1,University degree,Rural,Female,26,Right,4
372,1.65,6675,3,1,University degree,Urban,Male,25,Right,3
373,1.2,126,4,1,Graduate degree,Urban,Male,31,Right,4
374,1.4,140,3,1,University degree,Rural,Male,44,Right,3
375,1.25,288,4,1,Graduate degree,Suburban,Male,26,Left,2
376,2.6,199,2,1,High School,Suburban,Male,22,Right,2
377,2.55,143,3,1,University degree,Suburban,Male,23,Left,4
378,1.1,123,3,1,University degree,Urban,Male,30,Right,1
379,3.1,189,3,1,University degree,Suburban,Female,24,Right,1
380,1.8,433,2,1,High School,Rural,Male,27,Right,2
381,1.25,182,3,1,University degree,Rural,Male,54,Right,3
382,1.25,135,3,1,University degree,Suburban,Male,26,Right,2
383,3.15,529,3,1,University degree,Suburban,Male,27,Right,1
384,2.1,221,2,2,High School,Urban,Male,22,Right,2
385,1.6,136,2,1,High School,Suburban,Male,37,Right,2
386,2.5,107,2,1,High School,Suburban,Male,20,Left,4
387,3.1,740,1,2,Less than high school,Urban,Male,15,Right,1
388,2.3,256,2,1,High School,Suburban,Male,20,Right,2
389,2.85,128,3,1,University degree,Suburban,Male,25,Right,2
390,4.85,289,2,1,High School,Suburban,Male,19,Right,3
391,2.05,186,3,1,University degree,Rural,Male,40,Right,4
392,1.15,146,3,1,University degree,Suburban,Male,32,Right,3
393,4.2,225,4,1,Graduate degree,Urban,Male,49,Right,2
394,1.85,372,2,1,High School,Suburban,Male,35,Right,4
395,1.55,182,3,1,University degree,Suburban,Male,26,Right,2
396,1.65,116,2,2,High School,Rural,Male,21,Right,3
397,1.85,175,2,1,High School,Suburban,Male,23,Right,2
398,1.45,140,4,1,Graduate degree,Rural,Male,31,Left,2
399,1.3,277,2,1,High School,Rural,Male,33,Left,1
400,1.1,149,3,1,University degree,Suburban,Male,26,Right,3
401,1.5,178,3,1,University degree,Suburban,Female,30,Right,2
402,2.15,133,2,1,High School,Suburban,Male,21,Left,3
403,1.8,276,2,1,High School,Urban,Female,36,Left,4
404,2.2,186,3,1,University degree,Suburban,Male,36,Right,1
405,1.3,192,2,1,High School,Rural,Male,20,Right,3
406,2,173,2,1,High School,Suburban,Male,43,Right,1
407,1,177,3,1,University degree,Urban,Male,34,Right,3
408,2.25,146,1,1,Less than high school,Suburban,Male,17,Right,2
409,1.05,127,2,1,High School,Urban,Male,25,Right,4
410,1,171,2,1,High School,Suburban,Male,20,Left,3
411,1.05,183,4,1,Graduate degree,Suburban,Male,28,Right,1
412,1.25,172,3,1,University degree,Suburban,Male,24,Right,3
413,1.6,158,2,1,High School,Rural,Male,21,Right,2
414,1.95,169,2,1,High School,Rural,Male,19,Right,4
415,2.95,223,4,1,Graduate degree,Suburban,Male,29,Both,4
416,1.55,149,3,1,University degree,Rural,Male,31,Right,2
417,1,115,3,1,University degree,Suburban,Male,27,Right,2
418,1.5,173,2,1,High School,Suburban,Male,29,Right,4
419,1.6,126,3,1,University degree,Suburban,Male,25,Right,2
420,1.55,143,3,1,University degree,Urban,Female,21,Right,2
421,2.8,393,3,1,University degree,Rural,Male,27,Right,2
422,1,106,2,1,High School,Suburban,Male,30,Left,1
423,1,111,3,1,University degree,Suburban,Female,30,Right,3
424,1.2,145,1,1,Less than high school,Urban,Male,35,Left,1
425,1.85,157,3,1,University degree,Suburban,Male,23,Right,3
426,1.4,152,2,1,High School,Rural,Male,20,Right,2
427,2.4,235,2,1,High School,Urban,Male,21,Both,4
428,1.05,252,1,1,Less than high school,Rural,Male,24,Right,1
429,1.8,154,3,1,University degree,Suburban,Male,25,Right,2
430,2.8,288,3,2,University degree,Urban,Male,29,Right,3
431,1.45,136,3,1,University degree,Suburban,Female,47,Right,3
432,1.3,330,2,1,High School,Rural,Male,20,Right,2
433,1.2,115,4,1,Graduate degree,Suburban,Male,33,Right,2
434,1.5,282,3,1,University degree,Rural,Male,27,Left,2
435,3.6,975,2,1,High School,Urban,Female,20,Right,2
436,1.9,212,4,1,Graduate degree,Urban,Male,38,Right,3
437,6.5,110,4,1,Graduate degree,Rural,Male,23,Right,2
438,1.05,130,2,2,High School,Urban,Male,27,Right,3
439,1.75,255,3,1,University degree,Rural,Female,22,Right,1
440,2.7,270,2,1,High School,Rural,Male,18,Right,2
441,2.7,209,4,1,Graduate degree,Rural,Male,42,Right,3
442,1.6,185,3,1,University degree,Suburban,Male,24,Right,2
443,1,227,2,1,High School,Suburban,Male,30,Right,1
444,1.6,192,3,1,University degree,Rural,Female,39,Right,1
445,1.2,184,3,1,University degree,Rural,Male,33,Right,3
446,1.5,167,1,1,Less than high school,Suburban,Other,25,Right,2
447,1.65,263,2,1,High School,Suburban,Male,28,Right,5
448,2.05,150,2,1,High School,Rural,Male,56,Right,4
449,1.4,246,4,1,Graduate degree,Suburban,Female,27,Left,3
450,2.8,208,3,1,University degree,Rural,Male,38,Right,3
451,1.1,101,3,1,University degree,Suburban,Male,20,Right,3
452,3.5,121,3,1,University degree,Suburban,Female,22,Right,3
453,2.65,215,1,2,Less than high school,Rural,Male,28,Right,3
454,3.1,160,4,2,Graduate degree,Suburban,Male,37,NA,3
